StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Did you find this explanation useful?,"Before this course, how often did you use AI tools for academic work?","This semester (overall, in all courses), how often did you use AI tools (any, including the Virtual TA)?",For what learning or coursework-related purposes do you typically use AI tools? (Check all that apply.),How often did you use the course chatbot (Virtual TA) this semester?,When in the semester did you use it most?,What did you use the Virtual TA for? (check all that apply),Typical session length with the Virtual TA (average time per session):,Learning & understanding (checkl all that apply),Efficiency & workload (check all that apply),Study strategies,Perceived learning outcomes,Depth vs superficial understanding,"I sometimes encountered responses from the Virtual TA that were unclear, incomplete, or incorrect.",Self-reported adherence.,Would you like to have a Virtual TA (or something similar) in other technical courses,Would you recommend future students in this course make active use of the Virtual TA?,"Describe a specific moment when you used the Virtual TA that significantly helped (or hindered) your learning. What did you ask, what response did you receive, and how did it affect your understanding or study process?",How do you personally decide what is an acceptable vs. unacceptable use of AI tools (including the Virtual TA) in your coursework? Please explain your reasoning and any challenges you faced in making this decision.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID4""}","{""ImportId"":""QID28""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID38""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37_TEXT""}"
2021-09-01 18:29:50,2021-09-01 18:29:50,2,100,139,1,2025-12-09 01:07:10,P5526,preview,EN,,1,,,,,,,,,,,,,,,,,,
2021-09-01 18:29:50,2021-09-01 18:29:50,2,100,99,1,2025-12-09 01:07:10,P3219,preview,EN,,2,,,,,,,,,,,,,,,,,,
2021-09-01 18:29:50,2021-09-01 18:29:50,2,100,75,1,2025-12-09 01:07:10,P8676,preview,EN,,1,,,,,,,,,,,,,,,,,,
2021-09-01 18:29:50,2021-09-01 18:29:50,2,100,89,1,2025-12-09 01:07:10,P8636,preview,EN,,1,,,,,,,,,,,,,,,,,,
2021-09-01 18:29:50,2021-09-01 18:29:50,2,100,120,1,2025-12-09 01:07:10,P3368,preview,EN,,1,,,,,,,,,,,,,,,,,,
2021-09-01 18:29:50,2021-09-01 18:29:50,2,100,89,1,2025-12-09 01:07:10,P7263,preview,EN,,1,,,,,,,,,,,,,,,,,,
2021-09-01 18:29:50,2021-09-01 18:29:50,2,100,116,1,2025-12-09 01:07:10,P5711,preview,EN,,1,,,,,,,,,,,,,,,,,,
2021-09-01 18:29:50,2021-09-01 18:29:50,2,100,123,1,2025-12-09 01:07:10,P3355,preview,EN,,1,,,,,,,,,,,,,,,,,,
2021-09-01 18:29:50,2021-09-01 18:29:50,2,100,84,1,2025-12-09 01:07:10,P6923,preview,EN,,1,,,,,,,,,,,,,,,,,,
2021-09-01 18:29:50,2021-09-01 18:29:50,2,100,77,1,2025-12-09 01:07:10,P6327,preview,EN,,1,,,,,,,,,,,,,,,,,,
2021-09-01 18:29:50,2021-09-01 18:29:50,2,100,189,1,2025-12-09 01:07:10,P1452,preview,EN,,2,,,,,,,,,,,,,,,,,,
